model,threshold,total_images,images_with_detection,no_detection_count,images_with_detection_pct,predicted_class_distribution,can_to_metal_correct,can_total,glass_bottle_to_glass_correct,glass_bottle_total,plastic_bottle_to_plastic_correct,plastic_bottle_total,paper_cup_to_paper_correct,paper_cup_total,unknown_accept_sort_risky,unknown_total,avg_inference_ms,avg_total_ms,avg_fps,dominant_predicted_class,dominant_class_share,class_collapse,val_mAP50,val_mAP50_95
baseline,0.5,50,0,50,0.0,no_detection:50,0,10,0,10,0,10,0,10,0,10,56.18,226.01,4.42,no_detection,0.0,False,0.7686,0.7287
baseline,0.3,50,2,48,4.0,no_detection:48;metal:1;plastic:1,1,10,0,10,0,10,0,10,1,10,56.18,226.01,4.42,metal,0.5,False,0.7686,0.7287
baseline,0.1,50,2,48,4.0,no_detection:48;metal:1;plastic:1,1,10,0,10,0,10,0,10,1,10,56.18,226.01,4.42,metal,0.5,False,0.7686,0.7287
baseline,0.05,50,2,48,4.0,no_detection:48;metal:1;plastic:1,1,10,0,10,0,10,0,10,1,10,56.18,226.01,4.42,metal,0.5,False,0.7686,0.7287
medium,0.5,50,2,48,4.0,no_detection:48;metal:1;glass:1,1,10,0,10,0,10,0,10,0,10,51.43,174.98,5.72,metal,0.5,False,0.7629,0.6198
medium,0.3,50,4,46,8.0,no_detection:46;glass:2;metal:1;plastic:1,1,10,0,10,0,10,0,10,0,10,51.43,174.98,5.72,glass,0.5,False,0.7629,0.6198
medium,0.1,50,4,46,8.0,no_detection:46;glass:2;metal:1;plastic:1,1,10,0,10,0,10,0,10,0,10,51.43,174.98,5.72,glass,0.5,False,0.7629,0.6198
medium,0.05,50,4,46,8.0,no_detection:46;glass:2;metal:1;plastic:1,1,10,0,10,0,10,0,10,0,10,51.43,174.98,5.72,glass,0.5,False,0.7629,0.6198
strong,0.5,50,3,47,6.0,no_detection:47;metal:2;plastic:1,2,10,0,10,0,10,0,10,0,10,26.97,117.58,8.5,metal,0.667,False,0.7622,0.6135
strong,0.3,50,4,46,8.0,no_detection:46;metal:2;plastic:1;paper:1,2,10,0,10,0,10,1,10,0,10,26.97,117.58,8.5,metal,0.5,False,0.7622,0.6135
strong,0.1,50,4,46,8.0,no_detection:46;metal:2;plastic:1;paper:1,2,10,0,10,0,10,1,10,0,10,26.97,117.58,8.5,metal,0.5,False,0.7622,0.6135
strong,0.05,50,4,46,8.0,no_detection:46;metal:2;plastic:1;paper:1,2,10,0,10,0,10,1,10,0,10,26.97,117.58,8.5,metal,0.5,False,0.7622,0.6135
real_aug,0.5,50,0,50,0.0,no_detection:50,0,10,0,10,0,10,0,10,0,10,26.36,117.09,8.54,no_detection,0.0,False,0.7196,0.5448
real_aug,0.3,50,5,45,10.0,no_detection:45;paper:3;plastic:2,0,10,0,10,1,10,0,10,2,10,26.36,117.09,8.54,paper,0.6,False,0.7196,0.5448
real_aug,0.1,50,8,42,16.0,no_detection:42;paper:5;plastic:3,0,10,0,10,1,10,0,10,4,10,26.36,117.09,8.54,paper,0.625,False,0.7196,0.5448
real_aug,0.05,50,8,42,16.0,no_detection:42;paper:5;plastic:3,0,10,0,10,1,10,0,10,4,10,26.36,117.09,8.54,paper,0.625,False,0.7196,0.5448
