review_tier,tier_reason,output_image,target_class,confidence,bbox_area_ratio,warning_flags,split,preview_path,source_image
3,boundary_clamped flag set,paper_000093.jpg,paper,0.6674,0.7441,boundary_clamped,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_17.jpg
3,boundary_clamped flag set,paper_000098.jpg,paper,0.6632,0.6383,boundary_clamped,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_20.jpg
3,boundary_clamped flag set,plastic_000179.jpg,plastic,0.9498,0.6171,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_28.jpg
3,boundary_clamped flag set,paper_000097.jpg,paper,0.7832,0.4909,boundary_clamped,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_03.jpg
3,boundary_clamped flag set,plastic_000171.jpg,plastic,0.9371,0.4556,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_06.jpg
3,boundary_clamped flag set,paper_000021.jpg,paper,0.7190,0.4254,boundary_clamped,val,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_21.jpg
3,boundary_clamped flag set,plastic_000183.jpg,plastic,0.9195,0.3861,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_04.jpg
3,boundary_clamped flag set,plastic_000168.jpg,plastic,0.9328,0.3769,boundary_clamped,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000168_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_08.jpg
3,boundary_clamped flag set,paper_000082.jpg,paper,0.4504,0.3736,boundary_clamped,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000082_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_12.jpg
3,boundary_clamped flag set,plastic_000184.jpg,plastic,0.9524,0.3540,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_04.jpg
3,boundary_clamped flag set,plastic_000175.jpg,plastic,0.9574,0.3367,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_13.jpg
3,boundary_clamped flag set,paper_000092.jpg,paper,0.8307,0.3306,boundary_clamped,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_04.jpg
3,boundary_clamped flag set,paper_000084.jpg,paper,0.6969,0.2815,boundary_clamped,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000084_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_19.jpg
3,boundary_clamped flag set,paper_000088.jpg,paper,0.9047,0.2552,boundary_clamped,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000088_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_14.jpg
3,boundary_clamped flag set,plastic_000042.jpg,plastic,0.9644,0.2436,boundary_clamped,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_12.jpg
3,boundary_clamped flag set,plastic_000187.jpg,plastic,0.9622,0.2120,boundary_clamped,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_01.jpg
3,boundary_clamped flag set,plastic_000041.jpg,plastic,0.9571,0.2005,boundary_clamped,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_09.jpg
3,boundary_clamped flag set,glass_000167.jpg,glass,0.9606,0.0687,boundary_clamped,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_glass_000167_preview.jpg,datasets/recycling_material_real_selected/glass/KakaoTalk_20260707_220753713.jpg
4,bbox_area_ratio=0.5604 > 0.35,plastic_000172.jpg,plastic,0.7852,0.5604,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_25.jpg
4,bbox_area_ratio=0.5245 > 0.35,plastic_000167.jpg,plastic,0.9462,0.5245,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000167_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_27.jpg
4,bbox_area_ratio=0.4974 > 0.35,plastic_000162.jpg,plastic,0.9594,0.4974,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000162_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_26.jpg
4,bbox_area_ratio=0.4509 > 0.35,plastic_000170.jpg,plastic,0.9132,0.4509,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000170_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255.jpg
4,bbox_area_ratio=0.4107 > 0.35,paper_000086.jpg,paper,0.7756,0.4107,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000086_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_13.jpg
4,bbox_area_ratio=0.3935 > 0.35,paper_000087.jpg,paper,0.8215,0.3935,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000087_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_18.jpg
4,bbox_area_ratio=0.3912 > 0.35,paper_000096.jpg,paper,0.6532,0.3912,,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751.jpg
4,bbox_area_ratio=0.3847 > 0.35,paper_000091.jpg,paper,0.7502,0.3847,,train,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_11.jpg
4,bbox_area_ratio=0.3647 > 0.35,plastic_000165.jpg,plastic,0.9433,0.3647,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000165_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_10.jpg
4,bbox_area_ratio=0.3562 > 0.35,paper_000024.jpg,paper,0.8401,0.3562,,val,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_15.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000186.jpg,plastic,0.9571,0.3189,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_17.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000166.jpg,plastic,0.7390,0.3106,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000166_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_11.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000089.jpg,paper,0.7386,0.2901,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000089_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_10.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000178.jpg,plastic,0.9139,0.2900,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_02.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000045.jpg,plastic,0.9624,0.2781,,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_01.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000047.jpg,plastic,0.9595,0.2743,,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_29.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000164.jpg,plastic,0.7667,0.2677,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000164_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_14.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000161.jpg,plastic,0.9695,0.2631,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000161_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_16.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000023.jpg,paper,0.8656,0.2586,,val,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_02.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000046.jpg,plastic,0.9305,0.2384,,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_22.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000083.jpg,paper,0.6928,0.2347,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000083_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_16.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000188.jpg,plastic,0.8815,0.2320,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_07.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000163.jpg,plastic,0.9169,0.2220,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_plastic_000163_preview.jpg,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_24.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000185.jpg,plastic,0.9369,0.2162,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_15.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000090.jpg,paper,0.8390,0.2069,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000090_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_01.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000182.jpg,plastic,0.9567,0.2010,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_23.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000174.jpg,plastic,0.8794,0.1928,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220900255_03.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000181.jpg,plastic,0.9682,0.1875,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_03.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000180.jpg,plastic,0.9111,0.1838,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_21.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000177.jpg,plastic,0.9581,0.1770,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_02.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000085.jpg,paper,0.8174,0.1697,,train,datasets/recycling_yolo_material_v1_real_aug/previews/real_selected_train_paper_000085_preview.jpg,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_06.jpg
5,target_class=paper matches the class driving real_aug's unsafe ACCEPT_SORT cases,paper_000022.jpg,paper,0.8994,0.1685,,val,,datasets/recycling_material_real_selected/paper/KakaoTalk_20260707_220818751_05.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000043.jpg,plastic,0.9713,0.1512,,val,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006_05.jpg
5,target_class=plastic matches the class driving real_aug's unsafe ACCEPT_SORT cases,plastic_000173.jpg,plastic,0.9670,0.1341,,train,,datasets/recycling_material_real_selected/plastic/KakaoTalk_20260707_220859006.jpg
